Feature_Selection_Algorithm	Feature	Mean_Rank
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Numeric12	15.6
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Discrete10_C	15.9
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Discrete9_C	16.0
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Discrete8_B	16.5
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Numeric18	17.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Discrete2_B	17.5
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Numeric17	17.7
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Numeric4	17.7
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Discrete6_B	17.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Discrete1_C	17.8
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Numeric5	18.1
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Numeric7	18.4
/AlgorithmScripts/FeatureSelection/tsv/sklearn/mutual_info/default	Discrete5_B	18.5
